	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS00005	7.580018182	7.459370927	7.519201533	8.230654207	7.803602591	7.511562576	7.642000718	7.512782976	7.626437249	7.620312089	7.310731398	7.270454449	7.804564131	7.697066416	7.54889272
MCA_RS00010	6.112898927	6.868030871	6.943111422	6.978268365	6.832308412	5.758938675	6.296728007	6.438268741	6.78799501	6.871628313	6.097334901	7.469898065	6.56732403	6.789151574	6.974955335
MCA_RS00015	8.14360775	8.241614515	7.690652527	7.457664288	8.114171405	7.726134941	7.619391669	8.302924262	7.955469061	8.019854156	8.189950032	7.783357434	8.023994123	7.582706628	8.231354338
MCA_RS00020	7.908583901	7.854628622	7.789724792	7.574156552	7.675285816	7.949798837	7.392479635	7.755931202	7.811934551	7.898120227	7.909981779	7.824626137	7.59032465	7.569040446	7.924015922
MCA_RS00025	9.919404025	9.592813589	9.573409973	9.236869868	8.232234991	8.951585829	10.16842011	10.61048518	9.41124374	9.63050139	10.11808864	9.228513399	8.864333278	9.333552596	9.182500764
MCA_RS00030	9.551295908	9.729445458	9.48201108	8.410941959	7.839625967	8.168261861	9.860700726	10.35199815	9.094601516	9.650415462	10.03576316	8.868017229	9.142876602	9.276788933	9.275525373
MCA_RS00035	7.489776816	7.99561636	7.382851319	7.408299434	6.510200844	6.761707701	8.343299613	8.582424914	7.735135248	7.815582044	8.134786883	6.725479678	7.691873296	7.62083928	7.671680184
MCA_RS00040	9.736589495	9.770623358	9.793457165	9.598012197	9.097181828	9.179758589	10.3298106	10.15630135	9.944291537	10.02166548	9.811563773	9.93700525	9.633598479	9.66830149	9.74266448
MCA_RS00045	9.74818022	9.921962884	9.786729677	9.911076705	9.242743419	9.114126099	10.22037128	10.30717953	9.787521396	10.03672326	9.977172911	9.703750165	9.661249502	9.766924194	10.03053657
MCA_RS00050	11.37750647	11.49063023	11.60723737	11.77369079	11.45053256	11.44602841	11.81420166	11.61156366	11.50655698	11.79786523	11.45133381	11.37563421	11.43210397	11.48790357	11.4176967
