	SP1	SP2	SP3	SP4	SP5	SP6	SP7	SP8	SP9	SP10	SP11	SP12	SP13	SP14	SP15
MCA_RS00005	6726	2369	6218	2133	3242	3154	4500	3169	5697	5338	5200	4200	4071	10100	4827
MCA_RS00010	2431	1572	4170	895	1653	935	1770	1504	3185	3176	2241	4823	1726	5381	3242
MCA_RS00015	9942	4075	7003	1248	4021	3660	4430	5481	7157	7042	9567	5994	4740	9330	7748
MCA_RS00020	8447	3116	7501	1353	2966	4274	3785	3751	6479	6472	7879	6168	3509	9242	6261
MCA_RS00025	34051	10398	25833	4285	4364	8560	25935	27139	19636	21510	36416	16325	8488	31410	14982
MCA_RS00030	26382	11431	24247	2417	3324	4973	20953	22687	15766	21809	34396	12715	10296	30198	15980
MCA_RS00035	6318	3436	5657	1206	1322	1875	7318	6653	6143	6112	9208	2878	3765	9580	5256
MCA_RS00040	29998	11762	30090	5504	7949	10027	29005	19809	28414	28210	29445	26678	14468	39614	22091
MCA_RS00045	30240	13063	29950	6838	8793	9581	26886	21993	25488	28506	33027	22695	14748	42417	26970
MCA_RS00050	93559	38751	105792	24869	40625	48243	81159	54320	83916	96631	91761	72318	50332	139841	70547
MCA_RS00055	96419	43909	106274	19210	24801	37361	83195	72198	95466	91806	102340	69778	47529	134045	80189
MCA_RS00060	104098	38547	112633	29059	62686	69986	68101	47351	85171	88359	79671	67048	49130	125436	58085
MCA_RS00065	22951	8151	28299	9304	18865	19344	16414	9377	22395	18638	19424	14568	12500	35759	17045
MCA_RS00070	19957	8857	16868	5150	7978	10937	11093	13168	15054	15077	15423	12042	7955	23183	9986
MCA_RS00075	28103	10597	32292	12014	26089	23357	16307	12385	25083	24621	22685	23917	18162	40870	18228
MCA_RS00080	21725	8640	20959	3260	6445	8248	15374	12374	15271	14232	21851	12634	9049	24809	14571
MCA_RS00085	7582	2952	7944	1663	6021	5684	5494	3044	8489	8168	7327	5314	3133	11259	4961
MCA_RS00090	2065	484	1163	449	826	1069	990	635	1128	1097	1513	1793	910	2480	1508
MCA_RS00095	1029	681	2007	455	645	1107	1282	1565	1357	699	1686	2171	813	2680	1678
MCA_RS00100	4309	1987	4018	1144	1489	2638	2618	1489	4469	3465	4000	5161	2931	4721	2549
MCA_RS00105	4748	1320	2655	939	2401	1945	4029	2670	4440	4006	2829	2530	2036	6239	2883
MCA_RS00110	5628	1385	6094	1571	3726	3646	4241	2795	3994	5044	4900	4396	3848	8619	3953
MCA_RS00115	3735	472	2665	445	1804	2081	1204	2095	2876	2281	1783	2190	1011	3316	571
MCA_RS00120	3471	1568	4522	776	2840	2625	3003	1219	2197	4302	3356	2708	1384	5215	2107
MCA_RS00125	10154	3148	8402	2117	2892	4010	8279	5779	8423	8436	10561	4918	4692	12407	6204
MCA_RS00130	1726	628	1381	425	293	1211	863	1342	1065	1954	1869	2166	728	2342	1169
MCA_RS00135	913	378	860	53	385	373	470	317	1108	872	988	774	496	1532	466
MCA_RS00140	0	0	0	0	177	0	90	0	76	67	72	122	99	179	255
MCA_RS00145	192	11	94	0	0	0	69	90	107	198	249	105	195	420	188
MCA_RS00150	518	524	648	37	313	112	286	241	670	329	729	1157	735	764	472
MCA_RS00155	1237	560	779	128	397	743	460	292	801	907	1114	1072	543	1794	942
MCA_RS00160	793	378	508	139	258	247	576	188	421	514	579	470	282	1189	835
MCA_RS00165	1104	284	376	40	74	0	596	236	868	640	838	288	311	1487	977
MCA_RS00170	667	93	619	66	0	219	541	723	582	748	717	1183	584	1192	514
MCA_RS15840	437	255	297	33	165	66	107	188	118	242	77	239	46	647	608
MCA_RS00180	2404	703	1765	559	288	1297	1564	825	2227	1802	1808	1405	1322	4009	1897
MCA_RS00185	11045	3407	13348	2903	5564	6323	9404	9383	9529	10016	12101	7068	5229	18217	8028
MCA_RS00190	4103	591	6189	1085	2058	2814	3518	2402	3740	4381	4909	3631	2065	6719	2334
MCA_RS00195	8601	3626	10342	2135	4778	5775	7214	6689	7118	7235	9527	4256	3509	12095	6019
MCA_RS00200	7579	3360	7847	1719	3929	6288	4808	3837	5807	4901	7390	5311	3599	12004	5534
MCA_RS00205	6388	2256	5641	1044	2132	3479	3233	3066	3944	5106	4676	5235	3499	8707	3284
MCA_RS00210	10078	5527	7108	790	2559	4036	9750	6995	8502	8352	11651	4267	4129	14927	8754
MCA_RS00215	8796	2640	6222	1098	2299	5078	5216	4222	5096	6023	8361	4187	2934	11318	7366
MCA_RS00220	17465	5778	13690	2698	5190	6450	7916	6752	10537	9094	12633	10571	8273	23039	12204
MCA_RS00225	10268	3263	9737	1621	4652	4382	6329	4823	10289	8985	10025	10832	6286	16220	9943
MCA_RS00230	4441	1296	5465	881	1143	2579	4326	3268	4061	4132	5672	3768	2796	9090	3353
MCA_RS00235	4377	1236	3155	446	875	1025	3530	3378	2901	2869	4010	2235	1707	4413	3235
MCA_RS00240	727	217	230	0	65	0	387	168	427	52	642	135	326	726	104
MCA_RS00245	9045	5165	11845	3896	8702	7393	5550	4477	10671	10535	7544	10715	8530	18162	12039
MCA_RS00250	50249	23947	50043	11173	21621	32042	33136	28345	45629	37571	38017	34478	23996	51412	41282
MCA_RS00255	16170	7424	18031	4793	12572	10882	11016	6326	13564	10933	15082	9287	10696	23328	12536
MCA_RS00260	13351	5021	11977	2244	5781	5471	7093	5535	8533	9496	10413	10326	5540	15261	8182
MCA_RS00265	7307	5211	7144	974	1449	1281	7639	5167	8338	5989	8090	6967	2971	8930	8318
MCA_RS00270	13078	5367	12724	3454	6465	5970	8307	7114	7850	10662	9942	6511	7251	15268	9542
MCA_RS00275	12457	3935	12875	3580	9522	8926	7785	6455	11610	10627	11462	9296	6949	18437	9913
MCA_RS00280	19169	7211	18055	2136	4268	6096	17463	18398	16593	15575	30527	11117	8127	23132	10778
MCA_RS00285	9033	4127	7977	1828	3795	3260	4789	4272	8179	6438	10234	8269	4545	10810	5998
MCA_RS00290	135	0	355	66	310	201	91	243	160	51	542	395	510	955	132
MCA_RS00295	426	86	311	37	85	263	494	304	368	351	732	141	368	951	620
MCA_RS00300	5546	1626	4440	417	1839	1166	1871	1086	3477	2128	3636	2783	2386	5914	3143
MCA_RS00305	3802	1129	2409	889	1022	2213	3072	1221	3767	2183	3659	2944	1485	4468	2719
MCA_RS00310	2819	1840	2718	322	582	716	1532	1180	2952	2482	2631	1950	1350	3839	2164
MCA_RS00315	41817	16669	37698	11951	21360	23980	28015	20854	30939	35005	27584	30638	20093	51737	32144
MCA_RS00320	28475	12311	29178	9647	23212	19298	17607	8968	25273	25485	18227	23598	17459	42299	18807
MCA_RS00325	6432	1865	6531	1173	3962	4206	3131	2940	4101	5502	4723	4827	3949	9809	3671
MCA_RS00330	2010	678	1557	523	1223	486	1212	700	1684	1337	1249	1722	824	2618	1677
MCA_RS00335	6529	2757	6234	1256	2435	3738	3691	2798	5832	5273	5189	3630	4726	10814	6524
MCA_RS00340	260	85	107	134	0	100	403	94	199	71	304	384	87	458	83
